pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Vitamin B6 (pyridoxine) metabolism,EHMN,1,C00080,16 (16),0.349,1
Ubiquinol biosynthesis,Wikipathways,1,C00080,16 (24),0.349,1
Kennedy pathway from Sphingolipids,Wikipathways,1,C00065,16 (18),0.349,1
Ascorbate and aldarate metabolism - Homo sapiens (human),KEGG,2,C00022;C00433,48 (48),0.364,1
stearate biosynthesis,HumanCyc,1,C00080,17 (17),0.366,1
pyrimidine deoxyribonucleotides biosynthesis from CTP,HumanCyc,1,C00080,17 (17),0.366,1
Catecholamine biosynthesis,Reactome,1,C00080,17 (18),0.366,1
Vitamin B6 metabolism,INOH,1,C00025,17 (17),0.366,1
Thyroxine biosynthesis,Reactome,1,C00080,17 (17),0.366,1
ROS_ RNS production in phagocytes,Reactome,1,C00080,17 (21),0.366,1
Abacavir transport and metabolism,Reactome,1,C00080,17 (24),0.366,1
Melanin biosynthesis,Reactome,1,C00080,17 (23),0.366,1
Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome,1,C00080,17 (29),0.366,1
Salivary secretion - Homo sapiens (human),KEGG,1,C00080,17 (17),0.366,1
Pancreatic secretion - Homo sapiens (human),KEGG,1,C00080,17 (17),0.366,1
Androgen biosynthesis,Reactome,1,C00080,17 (17),0.366,1
dopamine degradation,HumanCyc,1,C00080,17 (17),0.366,1
fatty acid &alpha;-oxidation III,HumanCyc,1,C00080,17 (22),0.366,1
Lidocaine (Local Anaesthetic) Metabolism Pathway,SMPDB,1,C00080,17 (17),0.366,1
Post-translational modification- synthesis of GPI-anchored proteins,Wikipathways,1,C00033,17 (21),0.366,1
Abacavir transport and metabolism,Wikipathways,1,C00080,17 (24),0.366,1
fatty acid &alpha;-oxidation,HumanCyc,1,C00080,17 (20),0.366,1
Nucleotide Metabolism,Wikipathways,1,C00077,17 (18),0.366,1
Antimicrobial peptides,Wikipathways,1,C00080,17 (25),0.366,1
Phosphatidylinositol phosphate metabolism,EHMN,2,C00033;C00080,49 (49),0.373,1
Cellular responses to external stimuli,Reactome,2,C00153;C00080,50 (57),0.383,1
Amine Oxidase reactions,Reactome,1,C05665,18 (18),0.383,1
Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Reactome,1,C00080,18 (18),0.383,1
Beta-oxidation of very long chain fatty acids,Reactome,1,C00080,18 (26),0.383,1
heme biosynthesis,HumanCyc,1,C00080,18 (18),0.383,1
RAF/MAP kinase cascade,Reactome,1,C00025,18 (18),0.383,1
MAPK1/MAPK3 signaling,Reactome,1,C00025,18 (18),0.383,1
MAPK family signaling cascades,Reactome,1,C00025,18 (18),0.383,1
Synthesis of IP2_ IP_ and Ins in the cytosol,Reactome,1,C00080,18 (18),0.383,1
superpathway of inositol phosphate compounds,HumanCyc,1,C00080,18 (26),0.383,1
Nicotine Metabolism Pathway,SMPDB,1,C00080,18 (21),0.383,1
Felbamate Metabolism Pathway,SMPDB,1,C00080,18 (18),0.383,1
Cori Cycle,Wikipathways,1,C00022,18 (24),0.383,1
Iron uptake and transport,Wikipathways,1,C00080,18 (20),0.383,1
Iron uptake and transport,Reactome,1,C00080,19 (21),0.399,1
Post-translational modification: synthesis of GPI-anchored proteins,Reactome,1,C00033,19 (21),0.399,1
Tamoxifen Metabolism Pathway,SMPDB,1,C00080,19 (20),0.399,1
purine nucleotides degradation,HumanCyc,1,C00080,19 (19),0.399,1
Retrograde endocannabinoid signaling - Homo sapiens (human),KEGG,1,C00025,19 (19),0.399,1
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis,HumanCyc,1,C00080,19 (19),0.399,1
Neurotransmitter receptors and postsynaptic signal transmission,Reactome,1,C00025,19 (19),0.399,1
Tamoxifen Action Pathway,SMPDB,1,C00080,19 (20),0.399,1
Carbamazepine Metabolism Pathway,SMPDB,1,C00080,19 (19),0.399,1
Ubiquinone Biosynthesis,SMPDB,1,C00080,19 (19),0.399,1
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,SMPDB,1,C00080,19 (19),0.399,1
Short-chain 3-hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),SMPDB,1,C00080,19 (19),0.399,1
Butyrate Metabolism,SMPDB,1,C00164,19 (19),0.399,1
Di-unsaturated fatty acid beta-oxidation,EHMN,1,C00080,19 (19),0.399,1
Metabolism of folate and pterines,Wikipathways,1,C00080,19 (26),0.399,1
Ion channel transport,Wikipathways,1,C00080,19 (23),0.399,1
Phase I - Functionalization of compounds,Wikipathways,5,C00033;C05665;C05130;C00080;C00388,157 (195),0.401,1
Phase I - Functionalization of compounds,Reactome,5,C00033;C05665;C05130;C00080;C00388,159 (193),0.412,1
Epigenetic regulation of gene expression,Reactome,1,C00153,20 (24),0.415,1
Ion channel transport,Reactome,1,C00080,20 (24),0.415,1
noradrenaline and adrenaline degradation,HumanCyc,1,C00080,20 (20),0.415,1
PIP3 activates AKT signaling,Reactome,1,C00153,20 (22),0.415,1
Phenytoin (Antiarrhythmic) Action Pathway,SMPDB,1,C00080,20 (21),0.415,1
Imipramine Action Pathway,SMPDB,1,C00080,20 (20),0.415,1
Hypophosphatasia,SMPDB,1,C00266,20 (20),0.415,1
Vitamin B6 Metabolism,SMPDB,1,C00266,20 (20),0.415,1
Respiratory electron transport_ ATP synthesis by chemiosmotic coupling_ and heat production by uncoupling proteins.,Wikipathways,1,C00080,20 (22),0.415,1
Bile acid biosynthesis,EHMN,2,C00163;C00080,55 (55),0.43,1
Glycosphingolipid metabolism,EHMN,2,C00065;C00080,55 (55),0.43,1
Detoxification of Reactive Oxygen Species,Reactome,1,C00080,21 (24),0.431,1
Respiratory electron transport_ ATP synthesis by chemiosmotic coupling_ and heat production by uncoupling proteins.,Reactome,1,C00080,21 (23),0.431,1
Insulin resistance - Homo sapiens (human),KEGG,1,C00022,21 (21),0.431,1
Class I MHC mediated antigen processing & presentation,Reactome,1,C00080,21 (24),0.431,1
The canonical retinoid cycle in rods (twilight vision),Reactome,1,C00080,21 (33),0.431,1
cholesterol biosynthesis II (via 24_25-dihydrolanosterol),HumanCyc,1,C00080,21 (32),0.431,1
Vitamin B5 - CoA biosynthesis from pantothenate,EHMN,1,C00080,21 (21),0.431,1
Vitamin E metabolism,EHMN,1,C00080,21 (21),0.431,1
Gamma carboxylation_ hypusine formation and arylsulfatase activation,Wikipathways,1,C00080,21 (30),0.431,1
TP53 Regulates Metabolic Genes,Wikipathways,1,C00080,21 (25),0.431,1
Class I MHC mediated antigen processing & presentation,Wikipathways,1,C00080,21 (24),0.431,1
Tetrahydrobiopterin (BH4) synthesis_ recycling_ salvage and regulation,Wikipathways,1,C00080,22 (27),0.446,1
Synthesis of very long-chain fatty acyl-CoAs,Reactome,1,C00080,22 (27),0.446,1
Alpha-oxidation of phytanate,Reactome,1,C00080,22 (25),0.446,1
Familial lipoprotein lipase deficiency,SMPDB,1,C00258,22 (24),0.446,1
Glycerolipid Metabolism,SMPDB,1,C00258,22 (24),0.446,1
Glycerol Kinase Deficiency,SMPDB,1,C00258,22 (24),0.446,1
D-glyceric acidura,SMPDB,1,C00258,22 (24),0.446,1
Phytanic acid peroxisomal oxidation,EHMN,1,C00080,22 (22),0.446,1
Xenobiotics metabolism,EHMN,3,C14855;C14856;C00080,93 (93),0.448,1
retinol biosynthesis,HumanCyc,1,C00080,23 (37),0.461,1
TCA Cycle (aka Krebs or citric acid cycle),Wikipathways,1,C00122,23 (24),0.461,1
Glucuronidation,Reactome,1,C00080,23 (31),0.461,1
arsenate detoxification I (glutaredoxin),HumanCyc,1,C00080,23 (24),0.461,1
Synthesis of PC,Reactome,1,C00033,23 (28),0.461,1
AMPK signaling pathway - Homo sapiens (human),KEGG,1,C00022,23 (23),0.461,1
Glycosphingolipid biosynthesis - globoseries,EHMN,1,C00080,23 (23),0.461,1
Omega-6 fatty acid metabolism,EHMN,1,C00080,23 (23),0.461,1
Metabolism of nitric oxide,Wikipathways,1,C00080,23 (26),0.461,1
Detoxification of Reactive Oxygen Species,Wikipathways,1,C00080,23 (26),0.461,1
Transport of vitamins_ nucleosides_ and related molecules,Wikipathways,2,C00475;C00178,60 (60),0.474,1
Ferroptosis,Wikipathways,1,C00418,24 (29),0.475,1
Thermogenesis,Wikipathways,1,C00080,24 (25),0.475,1
Signaling by WNT,Reactome,1,C00153,24 (25),0.475,1
Gamma carboxylation_ hypusine formation and arylsulfatase activation,Reactome,1,C00080,24 (33),0.475,1
Tetrahydrobiopterin (BH4) synthesis_ recycling_ salvage and regulation,Reactome,1,C00080,24 (27),0.475,1
cholesterol biosynthesis III (via desmosterol),HumanCyc,1,C00080,24 (32),0.475,1
Synthesis of PA,Reactome,1,C00080,24 (26),0.475,1
Mercaptopurine Metabolism Pathway,SMPDB,1,C00064,24 (24),0.475,1
Linoleate metabolism,EHMN,1,C00080,24 (24),0.475,1
Biopterin metabolism,EHMN,1,C00080,24 (24),0.475,1
Cardiac conduction,Wikipathways,1,C00080,24 (25),0.475,1
cholesterol biosynthesis I,HumanCyc,1,C00080,24 (32),0.475,1
C21-steroid hormone biosynthesis and metabolism,EHMN,2,C00033;C00080,61 (61),0.483,1
G alpha (s) signalling events,Wikipathways,1,C00388,25 (25),0.489,1
Metabolism of nitric oxide,Reactome,1,C00080,25 (26),0.489,1
eNOS activation,Reactome,1,C00080,25 (26),0.489,1
Sphingolipid metabolism - Homo sapiens (human),KEGG,1,C00065,25 (25),0.489,1
eNOS activation and regulation,Reactome,1,C00080,25 (26),0.489,1
Thermogenesis - Homo sapiens (human),KEGG,1,C00080,25 (25),0.489,1
Prostaglandin Leukotriene metabolism,INOH,1,C00025,25 (25),0.489,1
Lidocaine (Antiarrhythmic) Action Pathway,SMPDB,1,C00080,25 (25),0.489,1
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,SMPDB,1,C00080,25 (25),0.489,1
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,SMPDB,1,C00080,25 (26),0.489,1
Hemostasis,Reactome,2,C00033;C00080,63 (67),0.5,1
Heme biosynthesis,Reactome,1,C00080,26 (28),0.503,1
Cobalamin (Cbl_ vitamin B12) transport and metabolism,Reactome,1,C00080,26 (28),0.503,1
RHO GTPase Effectors,Reactome,1,C00080,26 (27),0.503,1
Signaling by Rho GTPases,Reactome,1,C00080,26 (27),0.503,1
Retinoid metabolism and transport,Reactome,1,C00080,26 (35),0.503,1
Lidocaine (Local Anaesthetic) Action Pathway,SMPDB,1,C00080,26 (26),0.503,1
sarcosine oncometabolite pathway ,SMPDB,1,C00065,26 (26),0.503,1
Signaling by VEGF,Wikipathways,1,C00080,26 (28),0.503,1
Latent infection of Homo sapiens with Mycobacterium tuberculosis,Wikipathways,1,C00080,26 (35),0.503,1
Response of Mtb to phagocytosis,Reactome,1,C00080,26 (35),0.503,1
Latent infection of Homo sapiens with Mycobacterium tuberculosis,Reactome,1,C00080,26 (35),0.503,1
Pentose phosphate pathway,Wikipathways,1,C00080,26 (31),0.503,1
Transport of vitamins_ nucleosides_ and related molecules,Reactome,2,C00475;C00178,64 (64),0.509,1
VEGFA-VEGFR2 Pathway,Reactome,1,C00080,27 (28),0.516,1
Signaling by VEGF,Reactome,1,C00080,27 (28),0.516,1
Nicotine Action Pathway,SMPDB,1,C00080,27 (30),0.516,1
Leukotriene metabolism,EHMN,1,C00080,27 (27),0.516,1
Biotin metabolism - Homo sapiens (human),KEGG,1,C01037,28 (28),0.529,1
Intracellular signaling by second messengers,Reactome,1,C00153,28 (30),0.529,1
Vitamin A (retinol) metabolism,EHMN,1,C00080,28 (28),0.529,1
Retinoid metabolism and transport,Wikipathways,1,C00080,28 (37),0.529,1
acyl-CoA hydrolysis,HumanCyc,1,C00080,29 (39),0.541,1
Metabolism of steroid hormones,Wikipathways,1,C00080,29 (35),0.541,1
Metabolism of fat-soluble vitamins,Reactome,1,C00080,30 (41),0.553,1
Glycerophospholipid biosynthesis,Wikipathways,2,C00033;C00080,70 (94),0.557,1
triacylglycerol degradation,HumanCyc,1,C00080,31 (54),0.565,1
Steroids metabolism,INOH,1,C00418,31 (31),0.565,1
Pentose phosphate pathway (hexose monophosphate shunt),Reactome,1,C00080,31 (31),0.565,1
pyrimidine deoxyribonucleosides salvage,HumanCyc,1,C00080,31 (31),0.565,1
Metabolism of steroid hormones,Reactome,1,C00080,31 (36),0.565,1
sphingomyelin metabolism/ceramide salvage,HumanCyc,1,C00080,31 (55),0.565,1
Valproic Acid Metabolism Pathway,SMPDB,1,C00080,31 (31),0.565,1
Neurotransmitter release cycle,Wikipathways,1,C00080,31 (37),0.565,1
superpathway of pyrimidine deoxyribonucleoside salvage,HumanCyc,1,C00080,31 (31),0.565,1
Disease,Reactome,2,C00153;C00080,72 (104),0.573,1
Glycerophospholipid biosynthesis,Reactome,2,C00033;C00080,72 (93),0.573,1
Phenylalanine metabolism - Homo sapiens (human),KEGG,2,C00022;C00122,72 (72),0.573,1
phospholipases,HumanCyc,1,C00080,32 (55),0.577,1
Platelet activation_ signaling and aggregation,Reactome,1,C00080,32 (33),0.577,1
Sphingolipid de novo biosynthesis,Reactome,1,C00080,32 (35),0.577,1
17-Beta Hydroxysteroid Dehydrogenase III Deficiency,SMPDB,1,C00080,32 (32),0.577,1
Androgen and Estrogen Metabolism,SMPDB,1,C00080,32 (32),0.577,1
Aromatase deficiency,SMPDB,1,C00080,32 (32),0.577,1
Methylation,Reactome,1,C00080,33 (37),0.588,1
G alpha (s) signalling events,Reactome,1,C00388,33 (33),0.588,1
superpathway of steroid hormone biosynthesis,HumanCyc,1,C00080,33 (35),0.588,1
Inositol phosphate metabolism,Wikipathways,1,C00080,33 (41),0.588,1
Celecoxib Action Pathway,SMPDB,2,C00025;C00080,75 (76),0.595,1
Fatty acyl-CoA biosynthesis,Reactome,1,C00080,34 (42),0.599,1
Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD),SMPDB,1,C00080,34 (34),0.599,1
Fatty Acid Elongation In Mitochondria,SMPDB,1,C00080,34 (34),0.599,1
Fructose and mannose metabolism,EHMN,1,C00080,34 (34),0.599,1
Metabolism of porphyrins,Wikipathways,1,C00080,34 (37),0.599,1
Amine-derived hormones,Wikipathways,1,C00080,34 (38),0.599,1
Fatty acyl-CoA biosynthesis,Wikipathways,1,C00080,34 (42),0.599,1
Ibuprofen Action Pathway,SMPDB,2,C00025;C00080,77 (77),0.609,1
Metabolism of porphyrins,Reactome,1,C00080,35 (37),0.61,1
Inositol phosphate metabolism,Reactome,1,C00080,35 (43),0.61,1
Steroid hormones,Reactome,1,C00080,35 (40),0.61,1
Phase II - Conjugation of compounds,Wikipathways,3,C14856;C01879;C00080,119 (151),0.615,1
Tryptophan metabolism,EHMN,2,C00025;C00080,78 (78),0.617,1
Endogenous sterols,Reactome,1,C00080,37 (43),0.63,1
Pentose phosphate pathway,EHMN,1,C00080,37 (37),0.63,1
Cytosolic sulfonation of small molecules,Reactome,1,C00080,37 (47),0.63,1
Metabolism of cofactors,Reactome,1,C00080,37 (47),0.63,1
Amine-derived hormones,Reactome,1,C00080,37 (38),0.63,1
Glycerophospholipid Biosynthetic Pathway,Wikipathways,1,C00065,37 (49),0.63,1
Phospholipid metabolism,Reactome,2,C00033;C00080,80 (103),0.63,1
Synthesis of Prostaglandins (PG) and Thromboxanes (TX),Reactome,1,C00080,38 (43),0.64,1
the visual cycle I (vertebrates),HumanCyc,1,C00080,38 (58),0.64,1
Glycosphingolipid biosynthesis - ganglioseries,EHMN,1,C00080,38 (38),0.64,1
sphingosine and sphingosine-1-phosphate metabolism,HumanCyc,1,C00080,39 (59),0.65,1
Adaptive Immune System,Reactome,1,C00080,39 (54),0.65,1
Sphingolipid Metabolism,SMPDB,1,C00065,39 (40),0.65,1
Gaucher Disease,SMPDB,1,C00065,39 (40),0.65,1
Globoid Cell Leukodystrophy,SMPDB,1,C00065,39 (40),0.65,1
Metachromatic Leukodystrophy (MLD),SMPDB,1,C00065,39 (40),0.65,1
Fabry disease,SMPDB,1,C00065,39 (40),0.65,1
Krabbe disease,SMPDB,1,C00065,39 (40),0.65,1
Arachidonic acid metabolism,Reactome,2,C00025;C00080,84 (104),0.657,1
Selenium Micronutrient Network,Wikipathways,2,C00065;C00153,84 (103),0.657,1
cAMP signaling pathway - Homo sapiens (human),KEGG,1,C00080,40 (40),0.659,1
G alpha (i) signalling events,Reactome,3,C00388;C00080;C00025,127 (159),0.659,1
Xenobiotics,Reactome,1,C00080,41 (52),0.668,1
Purine catabolism,Reactome,1,C05512,41 (53),0.668,1
Visual phototransduction,Wikipathways,1,C00080,41 (57),0.668,1
Neuroactive ligand-receptor interaction - Homo sapiens (human),KEGG,3,C00049;C00388;C00025,130 (130),0.675,1
mitochondrial fatty acid beta-oxidation of saturated fatty acids,Reactome,1,C00080,42 (42),0.677,1
bile acid biosynthesis_ neutral pathway,HumanCyc,1,C00080,42 (44),0.677,1
Steroidogenesis,SMPDB,1,C00080,42 (43),0.677,1
Apparent mineralocorticoid excess syndrome,SMPDB,1,C00080,42 (43),0.677,1
3-Beta-Hydroxysteroid Dehydrogenase Deficiency,SMPDB,1,C00080,42 (43),0.677,1
21-hydroxylase deficiency (CYP21),SMPDB,1,C00080,42 (43),0.677,1
Corticosterone methyl oxidase I deficiency (CMO I),SMPDB,1,C00080,42 (43),0.677,1
Corticosterone methyl oxidase II deficiency - CMO II,SMPDB,1,C00080,42 (43),0.677,1
Adrenal Hyperplasia Type 5 or Congenital Adrenal Hyperplasia due to 17 Alpha-hydroxylase Deficiency,SMPDB,1,C00080,42 (43),0.677,1
Adrenal Hyperplasia Type 3 or Congenital Adrenal Hyperplasia due to 21-hydroxylase Deficiency,SMPDB,1,C00080,42 (43),0.677,1
Congenital Lipoid Adrenal Hyperplasia (CLAH) or Lipoid CAH,SMPDB,1,C00080,42 (43),0.677,1
17-alpha-hydroxylase deficiency (CYP17),SMPDB,1,C00080,42 (43),0.677,1
Signaling by Receptor Tyrosine Kinases,Reactome,1,C00080,42 (44),0.677,1
11-beta-hydroxylase deficiency (CYP11B1),SMPDB,1,C00080,42 (43),0.677,1
Long chain acyl-CoA dehydrogenase deficiency (LCAD),SMPDB,1,C00080,43 (43),0.686,1
Trifunctional protein deficiency,SMPDB,1,C00080,43 (43),0.686,1
Carnitine palmitoyl transferase deficiency (II),SMPDB,1,C00080,43 (43),0.686,1
Very-long-chain acyl coa dehydrogenase deficiency (VLCAD),SMPDB,1,C00080,43 (43),0.686,1
Medium chain acyl-coa dehydrogenase deficiency (MCAD),SMPDB,1,C00080,43 (43),0.686,1
Short Chain Acyl CoA Dehydrogenase Deficiency (SCAD Deficiency),SMPDB,1,C00080,43 (43),0.686,1
Fatty acid Metabolism,SMPDB,1,C00080,43 (43),0.686,1
Glutaric Aciduria Type I,SMPDB,1,C00080,43 (43),0.686,1
Ethylmalonic Encephalopathy,SMPDB,1,C00080,43 (43),0.686,1
Carnitine palmitoyl transferase deficiency (I),SMPDB,1,C00080,43 (43),0.686,1
Saturated fatty acids beta-oxidation,EHMN,1,C00080,43 (43),0.686,1
tRNA modification in the nucleus and cytosol,Reactome,1,C00022,44 (47),0.694,1
Interconversion of nucleotide di- and triphosphates,Wikipathways,1,C00080,44 (51),0.694,1
Hyper-IgD syndrome,SMPDB,1,C00418,45 (45),0.702,1
Cholesteryl ester storage disease,SMPDB,1,C00418,45 (45),0.702,1
Lysosomal Acid Lipase Deficiency (Wolman Disease),SMPDB,1,C00418,45 (45),0.702,1
Mevalonic aciduria,SMPDB,1,C00418,45 (45),0.702,1
Wolman disease,SMPDB,1,C00418,45 (45),0.702,1
Smith-Lemli-Opitz Syndrome (SLOS),SMPDB,1,C00418,45 (45),0.702,1
Chondrodysplasia Punctata II_ X Linked Dominant (CDPX2),SMPDB,1,C00418,45 (45),0.702,1
CHILD Syndrome,SMPDB,1,C00418,45 (45),0.702,1
Desmosterolosis,SMPDB,1,C00418,45 (45),0.702,1
Hypercholesterolemia,SMPDB,1,C00418,45 (45),0.702,1
Steroid Biosynthesis,SMPDB,1,C00418,45 (45),0.702,1
Ibandronate Action Pathway,SMPDB,1,C00418,45 (45),0.702,1
Simvastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Pravastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Atorvastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Alendronate Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Rosuvastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Lovastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Risedronate Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Cerivastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Pamidronate Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Fluvastatin Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Zoledronate Action Pathway,SMPDB,1,C00418,46 (46),0.71,1
Vitamin B12 Metabolism,Wikipathways,1,C00065,46 (60),0.71,1
tRNA processing,Reactome,1,C00022,47 (51),0.718,1
Purine metabolism - Homo sapiens (human),KEGG,2,C00064;C05512,95 (95),0.722,1
Galactose metabolism,EHMN,1,C00080,48 (48),0.725,1
Prostaglandin formation from arachidonate,EHMN,1,C00080,48 (48),0.725,1
Porphyrin metabolism,EHMN,1,C00080,48 (48),0.725,1
Porphyrin and chlorophyll metabolism - Homo sapiens (human),KEGG,3,C02800;C00025;C00188,141 (141),0.728,1
Visual phototransduction,Reactome,1,C00080,49 (65),0.733,1
Chemical carcinogenesis - Homo sapiens (human),KEGG,2,C14855;C14856,99 (99),0.743,1
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome,1,C00080,51 (51),0.747,1
Folate Metabolism,Wikipathways,1,C00065,51 (66),0.747,1
Drug metabolism - other enzymes - Homo sapiens (human),KEGG,1,C16633,52 (52),0.754,1
Arachidonic acid metabolism,EHMN,1,C00080,53 (53),0.76,1
Fructose and mannose metabolism - Homo sapiens (human),KEGG,1,C00424,54 (54),0.767,1
Metabolism of RNA,Reactome,1,C00022,56 (72),0.779,1
Folate biosynthesis - Homo sapiens (human),KEGG,1,C00266,57 (57),0.785,1
Mitochondrial Fatty Acid Beta-Oxidation,Reactome,1,C00080,58 (66),0.791,1
Tryptophan Metabolism,SMPDB,1,C00025,59 (60),0.796,1
De novo fatty acid biosynthesis,EHMN,1,C00080,59 (59),0.796,1
Sphingolipid metabolism,Wikipathways,1,C00080,59 (67),0.796,1
Mitochondrial Fatty Acid Beta-Oxidation,Wikipathways,1,C00080,59 (67),0.796,1
fatty acid &beta;-oxidation,HumanCyc,1,C00080,60 (84),0.802,1
Bile acid and bile salt metabolism,Wikipathways,1,C00080,60 (76),0.802,1
Synthesis of bile acids and bile salts,Reactome,1,C00080,61 (75),0.807,1
fatty acid &beta;-oxidation (peroxisome),HumanCyc,1,C00080,61 (85),0.807,1
Sphingolipid metabolism,Reactome,1,C00080,62 (68),0.812,1
Androgen and estrogen biosynthesis and metabolism,EHMN,1,C00080,62 (62),0.812,1
glutathione redox reactions I,HumanCyc,1,C00080,64 (100),0.822,1
Bile acid and bile salt metabolism,Reactome,1,C00080,66 (80),0.832,1
Metabolism of steroids,Reactome,2,C00418;C00080,120 (144),0.833,1
Metabolism of water-soluble vitamins and cofactors,Wikipathways,1,C00080,67 (79),0.836,1
Innate Immune System,Reactome,1,C00080,67 (99),0.836,1
Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human),KEGG,2,C14855;C14856,121 (121),0.836,1
Leukotriene C4 Synthesis Deficiency,SMPDB,1,C00025,71 (71),0.853,1
Antrafenine Action Pathway,SMPDB,1,C00025,71 (71),0.853,1
Trisalicylate-choline Action Pathway,SMPDB,1,C00025,71 (71),0.853,1
Lornoxicam Action Pathway,SMPDB,1,C00025,71 (71),0.853,1
Tenoxicam Action Pathway,SMPDB,1,C00025,71 (71),0.853,1
Arachidonic Acid Metabolism,SMPDB,1,C00025,71 (71),0.853,1
Etodolac Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Ketoprofen Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Rofecoxib Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Acetylsalicylic Acid Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Diflunisal Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Sulindac Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Diclofenac Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Ketorolac Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Naproxen Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Etoricoxib Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Carprofen Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Flurbiprofen Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Fenoprofen Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Antipyrine Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Lumiracoxib Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Magnesium salicylate Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Nepafenac Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Phenylbutazone Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Salsalate Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Tiaprofenic Acid Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Tolmetin Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Salicylic Acid Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Salicylate-sodium Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Oxaprozin Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Valdecoxib Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Nabumetone Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Indomethacin Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Meloxicam Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Suprofen Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Bromfenac Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Mefenamic Acid Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Piroxicam Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
Acetaminophen  Action Pathway,SMPDB,1,C00025,72 (72),0.857,1
G alpha (i) signalling events,Wikipathways,1,C00388,75 (93),0.868,1
Neomycin_ kanamycin and gentamicin biosynthesis - Homo sapiens (human),KEGG,1,C00025,81 (81),0.888,1
Tryptophan metabolism - Homo sapiens (human),KEGG,1,C02220,81 (81),0.888,1
Asparagine N-linked glycosylation,Wikipathways,1,C00080,84 (101),0.897,1
Arachidonic acid metabolism,Wikipathways,1,C00080,84 (107),0.897,1
Fatty acid metabolism,Reactome,3,C00033;C00025;C00080,199 (367),0.904,1
Drug metabolism - cytochrome P450 - Homo sapiens (human),KEGG,1,C01471,88 (88),0.908,1
Immune System,Reactome,1,C00080,91 (136),0.915,1
Cytochrome P450 - arranged by substrate type,Reactome,1,C00080,95 (121),0.924,1
chondroitin sulfate degradation (metazoa),HumanCyc,1,C00080,100 (134),0.933,1
dermatan sulfate degradation (metazoa),HumanCyc,1,C00080,101 (135),0.935,1
Metabolism of lipids,Reactome,5,C00033;C00418;C00164;C00080;C00025,398 (620),0.984,1
Bile secretion - Homo sapiens (human),KEGG,1,C00080,162 (162),0.988,1
